price,flat_type,flat_floor,builing_floor,street,number_of_building,building_area,flat_size,room,Rent_price,ROI,Price/m²
4700000,1-к квартира,14,24,ул.Эйнштейна,стр.2,Новоивановское,38.0,1,35000,0.08191489361702127,123684.2105263158
4600000,1-к квартира,16,22,ул.Эйнштейна,стр.1,Новоивановское,31.8,1,35000,0.08369565217391305,144654.08805031446
6399000,2-к квартира,3,22,ул.Эйнштейна,стр.1,Новоивановское,54.0,2,40000,0.0687607438662291,118500.0
4600000,1-к квартира,12,22,ул.Эйнштейна,стр.1,Новоивановское,32.0,1,35000,0.08369565217391305,143750.0
4800000,1-к квартира,22,22,ул.Эйнштейна,стр.1,Новоивановское,34.2,1,35000,0.08020833333333334,140350.87719298244
6900000,2-к квартира,12,15,ул.Эйнштейна,стр.1,Новоивановское,57.1,2,40000,0.06376811594202897,120840.63047285465
5300000,1-к квартира,6,22,ул.Эйнштейна,стр.2,Москва,40.0,0,30000,0.06226415094339624,132500.0
3800000,Студия,15,24,ул.Эйнштейна,стр.2,Москва,25.0,0,30000,0.0868421052631579,152000.0
4850000,1-к квартира,3,22,ул.Эйнштейна,стр.1,Новоивановское,35.0,1,35000,0.07938144329896908,138571.42857142858
4820000,1-к квартира,3,25,ул.Эйнштейна,стр.3,Москва,31.5,1,35000,0.07987551867219916,153015.87301587302
4850000,1-к квартира,11,15,ул.Эйнштейна,стр.1,Новоивановское,34.6,1,35000,0.07938144329896908,140173.41040462427
6000000,1-к квартира,14,22,ул.Эйнштейна,стр.2,Новоивановское,42.0,2,40000,0.07333333333333332,142857.14285714287
6700000,2-к квартира,11,15,ул.Эйнштейна,стр.1,Новоивановское,57.0,2,40000,0.06567164179104477,117543.8596491228
7350000,2-к квартира,8,15,ул.Эйнштейна,стр.2,Москва,55.0,2,40000,0.059863945578231284,133636.36363636365
7350000,2-к квартира,21,22,ул.Эйнштейна,стр.1,Новоивановское,54.7,0,30000,0.04489795918367346,134369.28702010968
7270000,2-к квартира,15,15,ул.Эйнштейна,стр.3,Москва,53.1,1,35000,0.05295735900962861,136911.48775894538
5400000,1-к квартира,13,24,ул.Эйнштейна,стр.1,Новоивановское,40.4,0,30000,0.06111111111111111,133663.36633663366
